id,created_at,rag_name,source,discord_user_id,discord_channel_id,discord_thread_id,discord_message_id,question,rag_answer,rag_context,llm_answer,candidate_a_answer,candidate_b_answer,feedback_selected_candidate,feedback_thumbs_up,feedback_timestamp
1,2026-02-25 19:43:09.637040+00:00,test-rag,discord,user123,channel123,thread123,message123,What is DocGPT?,DocGPT is a documentation assistant.,"[{""source"": ""doc.md"", ""snippet"": ""DocGPT...""}]",Generic answer,,,,,
2,2026-02-25 19:43:09.711637+00:00,test-rag,discord,,,,,Q?,A,,,,,,,
3,2026-02-25 19:45:57.267547+00:00,test-rag,discord,user123,channel123,thread123,message123,What is DocGPT?,DocGPT is a documentation assistant.,"[{""source"": ""doc.md"", ""snippet"": ""DocGPT...""}]",Generic answer,,,,,
4,2026-02-25 19:45:57.350869+00:00,test-rag,discord,,,,,Q?,A,,,,,,,
5,2026-02-25 19:53:12.981626+00:00,docgpt,discord,754143242710286366,1476305761104691302,1476305761104691302,1476305885650489354,what is a PR request that i can open?,"Based on the provided documentation, here are several ways you can open a Pull Request (PR) for the `data.table` project:

*   **Beginner Tasks:** You can look for issues labeled as [beginner-task](https://github.com/Rdatatable/data.table/labels/beginner-task) on GitHub. These are specifically identified as easy issues for new contributors to work on.
*   **Bug Fixes or Features:** You can address any open issue. If you are confident and the PR is self-contained, you do not necessarily need to file a new issue before submitting the PR (though creating an issue first is recommended if the work will take more than a day). 
*   **Documentation Improvements:** Substantial contributions to the documentation are welcome. While minor spelling fixes do not count toward ""Project Membership,"" significant improvements to the docs do.
*   **Translations:** You can contribute as a **Translator** by translating vignettes or messages. The project has specific steps and teams for various languages (e.g., Hindi, Russian, French, Spanish, Brazilian Portuguese).
*   **Performance Testing:** You can add a performance test using the `atime` framework in `.ci/atime/tests.R`. This is used to ensure new features don't slow down the code or to document historical performance improvements.

### **Key Requirements for any PR:**
1.  **Tests:** Every new feature or bug fix must include one or more new tests in [`inst/tests/tests.Rraw`](https://github.com/Rdatatable/data.table/blob/master/inst/tests/tests.Rraw). You must verify that the test fails *without* your fix.
2.  **NEWS Entry:** Unless the change is a trivial typo fix, you must add an entry to the [NEWS](https://github.com/Rdatatable/data.table/blob/master/NEWS.md) file following the project's specific style.
3.  **Status:** The PR's status must be **passing tests** before the maintainers will review it.
4.  **Target Branch:** Create the PR against the `master` branch.
5.  **No AI/LLMs:** Contributors are strictly forbidden from using code assistants (like LLMs) if they cannot evaluate the license of the generated code.

If you are looking for specific priorities, you can search for issues with the [Top request label](https://github.com/Rdatatable/data.table/issues?q=is%3Aissue%20state%3Aopen%20label%3A%22top%20request%22).",,,,,,,
6,2026-02-25 19:54:06.926821+00:00,docgpt,discord,754143242710286366,1476305761104691302,1476305761104691302,1476306145957122332,what is an issue?,"In the context of the `data.table` project, an **issue** is a formal way to communicate with the developers to report problems, suggest improvements, or ask for features. Filing an issue is explicitly recognized as a form of contribution to the project.

### What is an ""Issue""?
According to the project guidelines, an issue generally falls into two categories:
1.  **Bug Reports:** Reporting aberrant behavior or errors in the code. These should ideally include a **minimal reproducible example (MRE)** and output from `sessionInfo()`.
2.  **Feature Requests:** Suggesting new functionality. However, the project has a specific **scope** (e.g., data manipulation, high-performance functions, file reading/writing). Feature requests that fall outside this scope (like plotting or machine learning) are typically closed immediately.

**Key Rule:** Use ""one issue for one purpose."" You should not report multiple bugs or request several different features within a single issue.

### How to Find Issues
You can find issues on the [data.table GitHub Issues page](https://github.com/Rdatatable/data.table/issues). To find specific types of tasks or high-priority items, you can look for the following labels:

*   **`beginner-task`**: Recommended for contributors looking to become ""Project Members."" These are generally easier tasks intended to help new contributors get started.
*   **`top request`**: These are issues the maintainers have prioritized based on community reactions (like the ""+1"" reaction).
*   **Closed Issues**: The documentation suggests observing closed issues to ""observe the good and the bad"" to understand how to effectively communicate with the maintainers.

### Before You File a New Issue
The project requests that you perform the following steps before opening a new issue:
1.  Check the **NEWS** file to see if the problem has already been addressed.
2.  Search **existing issues** (both open and closed) to ensure it isn't a duplicate.
3.  Read the **vignettes** and **FAQ**.
4.  Search **Stack Overflow** using the `[data.table]` tag.
5.  Check if the issue persists in the **development version** of the package (using `data.table::update_dev_pkg()`).",,,,,,,
7,2026-02-25 20:20:23.305173+00:00,test-rag,discord,user123,channel123,thread123,message123,What is DocGPT?,DocGPT is a documentation assistant.,"[{""source"": ""doc.md"", ""snippet"": ""DocGPT...""}]",Generic answer,,,,,
8,2026-02-25 20:20:23.375098+00:00,test-rag,discord,,,,,Q?,A,,,,,,,
9,2026-02-25 20:21:32.460898+00:00,test-rag,discord,user123,channel123,thread123,message123,What is DocGPT?,DocGPT is a documentation assistant.,"[{""source"": ""doc.md"", ""snippet"": ""DocGPT...""}]",Generic answer,,,,,
10,2026-02-25 20:21:32.523381+00:00,test-rag,discord,,,,,Q?,A,,,,,,,
